m,n,k,lda,ldb,ldc,offa,offb,offc,alpha,beta,order,transa,transb,side,uplo,diag,function,device,library,numQueues,label,GFLOPS
2464,2464,2464,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,4926.11
2496,2496,2496,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6275.64
2528,2528,2528,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,4941.56
2560,2560,2560,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6288.88
2592,2592,2592,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,5955.3
2624,2624,2624,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6148.15
2656,2656,2656,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,4995.12
2688,2688,2688,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6216.62
2720,2720,2720,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,5107.04
2752,2752,2752,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6278.74
2784,2784,2784,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,5950.11
2816,2816,2816,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6209.58
2848,2848,2848,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,5166.41
2880,2880,2880,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6235.75
2912,2912,2912,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,5255.43
2944,2944,2944,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6167.68
2976,2976,2976,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,5983.15
3008,3008,3008,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6241.18
3040,3040,3040,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,5296.91
3072,3072,3072,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6328.93
3104,3104,3104,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,5401.12
3136,3136,3136,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6256.43
3168,3168,3168,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6054.99
3200,3200,3200,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6210.48
3232,3232,3232,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,5382.7
3264,3264,3264,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6283.52
3296,3296,3296,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,5484.96
3328,3328,3328,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6238.47
3360,3360,3360,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6158.6
3392,3392,3392,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6333
3424,3424,3424,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,5554.46
3456,3456,3456,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6278.21
3488,3488,3488,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,5546.68
3520,3520,3520,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6253.18
3552,3552,3552,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6312.68
3584,3584,3584,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6322.61
3616,3616,3616,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,5653.63
3648,3648,3648,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6320.16
3680,3680,3680,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,5647.68
3712,3712,3712,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6298.23
3744,3744,3744,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6458.47
3776,3776,3776,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6280.78
3808,3808,3808,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,5675.14
3840,3840,3840,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6266.23
3904,3904,3904,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6304.8
3936,3936,3936,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6380.82
3968,3968,3968,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6365.85
4000,4000,4000,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,5775.86
4032,4032,4032,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6317.74
4064,4064,4064,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,5762.54
4096,4096,4096,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6390.06
4128,4128,4128,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,6539.81
