m,n,k,lda,ldb,ldc,offa,offb,offc,alpha,beta,order,transa,transb,side,uplo,diag,function,device,library,numQueues,label,GFLOPS
2912,2912,2912,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,478.495
2944,2944,2944,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,466.05
2976,2976,2976,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,477.713
3008,3008,3008,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,472.739
3040,3040,3040,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,477.459
3072,3072,3072,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,479.41
3104,3104,3104,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,477.734
3136,3136,3136,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,473.497
3168,3168,3168,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,478.236
3200,3200,3200,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,467.953
3232,3232,3232,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,479.219
3264,3264,3264,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,475.557
3296,3296,3296,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,480.365
3328,3328,3328,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,471.463
3360,3360,3360,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,479.015
3392,3392,3392,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,478.665
3424,3424,3424,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,480.862
3456,3456,3456,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,475.338
3488,3488,3488,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,480.238
3520,3520,3520,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,472.632
