m,n,k,lda,ldb,ldc,offa,offb,offc,alpha,beta,order,transa,transb,side,uplo,diag,function,device,library,numQueues,label,GFLOPS
1448,1448,1448,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3011.47
1456,1456,1456,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3073.2
1464,1464,1464,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3092.45
1472,1472,1472,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3203.43
1480,1480,1480,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2964.86
1488,1488,1488,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3057.79
1496,1496,1496,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3023.78
1504,1504,1504,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3120.55
1512,1512,1512,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3022.64
1520,1520,1520,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3144.74
1528,1528,1528,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3082.56
1536,1536,1536,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3148.1
1544,1544,1544,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2877.58
1552,1552,1552,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2929.74
1560,1560,1560,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2981.76
1568,1568,1568,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2994.1
1576,1576,1576,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3026.52
1584,1584,1584,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3030.09
1592,1592,1592,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3060.62
1600,1600,1600,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,3093.11
1608,1608,1608,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2861.43
1616,1616,1616,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,cublas,1,K40,2935.76
